2015-07-13 10:28:49,317 [6] INFO  Umbraco.Core.CoreBootManager - [T1/D2] Umbraco application starting
2015-07-13 10:28:49,406 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Determining hash of code files on disk
2015-07-13 10:28:49,422 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Hash determined (took 14ms)
2015-07-13 10:28:49,433 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-07-13 10:28:49,766 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 332ms)
2015-07-13 10:28:49,858 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-07-13 10:28:49,864 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 5ms)
2015-07-13 10:28:49,864 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-07-13 10:28:49,871 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 6ms)
2015-07-13 10:28:49,900 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-07-13 10:28:49,906 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 6 (took 6ms)
2015-07-13 10:28:49,907 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-07-13 10:28:49,912 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 4ms)
2015-07-13 10:28:49,991 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-07-13 10:28:49,996 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 5ms)
2015-07-13 10:28:49,996 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-07-13 10:28:50,003 [6] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2015-07-13 10:28:51,087 [6] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D2] Initializing Examine and binding to business logic events
2015-07-13 10:28:51,393 [6] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D2] Adding examine event handlers for index providers: 3
2015-07-13 10:28:51,403 [6] INFO  Umbraco.Core.CoreBootManager - [T1/D2] Umbraco application startup complete (took 2046ms)
2015-07-13 10:28:51,992 [6] INFO  Umbraco.Web.UmbracoModule - [T7/D2] Setting OriginalRequestUrl: localhost:55191/umbraco
2015-07-13 10:28:52,117 [6] INFO  umbraco.content - [T7/D2] Load Xml from file...
2015-07-13 10:28:52,129 [6] INFO  umbraco.content - [T7/D2] Loaded Xml from file.
2015-07-13 10:28:52,287 [6] INFO  Umbraco.Core.PluginManager - [T7/D2] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-07-13 10:28:52,296 [6] INFO  Umbraco.Core.PluginManager - [T7/D2] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 8ms)
2015-07-13 10:28:56,570 [6] INFO  Umbraco.Core.PluginManager - [T7/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-07-13 10:28:56,581 [6] INFO  Umbraco.Core.PluginManager - [T7/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 10ms)
2015-07-13 10:30:00,953 [6] INFO  umbraco.BusinessLogic.Log - [T12/D2] Log scrubbed.  Removed all items older than 2015-05-14 10:30:00
2015-07-13 10:30:44,746 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [ScheduledPublishing] Terminating
2015-07-13 10:30:44,746 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [ScheduledPublishing] Waiting for tasks to complete
2015-07-13 10:30:44,748 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [ScheduledPublishing] Tasks completed, terminated
2015-07-13 10:30:44,748 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [LogScrubber] Terminating
2015-07-13 10:30:44,748 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [LogScrubber] Waiting for tasks to complete
2015-07-13 10:30:44,748 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [LogScrubber] Tasks completed, terminated
2015-07-13 10:30:44,858 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [XmlCacheFilePersister] Terminating
2015-07-13 10:30:44,858 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [XmlCacheFilePersister] Waiting for tasks to complete
2015-07-13 10:30:44,858 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [ScheduledTasks] Terminating
2015-07-13 10:30:44,858 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [ScheduledTasks] Waiting for tasks to complete
2015-07-13 10:30:44,858 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T15/D2] [ScheduledTasks] Tasks completed, terminated
2015-07-13 10:30:44,866 [6] INFO  umbraco.content - [T8/D2] Save Xml to file...
2015-07-13 10:30:44,874 [6] INFO  umbraco.content - [T16/D2] Saved Xml to file.
2015-07-13 10:30:44,879 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T13/D2] [XmlCacheFilePersister] Tasks completed, terminated
2015-07-13 10:30:44,962 [6] INFO  Umbraco.Core.UmbracoApplicationBase - [T15/D2] Application shutdown. Reason: ConfigurationChange
2015-07-13 10:30:52,524 [14] INFO  Umbraco.Core.CoreBootManager - [T18/D3] Umbraco application starting
2015-07-13 10:30:52,583 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Determining hash of code files on disk
2015-07-13 10:30:52,592 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Hash determined (took 6ms)
2015-07-13 10:30:52,601 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-07-13 10:30:52,629 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 26ms)
2015-07-13 10:30:52,725 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-07-13 10:30:52,727 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
2015-07-13 10:30:52,727 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-07-13 10:30:52,728 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 0ms)
2015-07-13 10:30:52,752 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-07-13 10:30:52,753 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 6 (took 0ms)
2015-07-13 10:30:52,753 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-07-13 10:30:52,755 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 1ms)
2015-07-13 10:30:52,799 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-07-13 10:30:52,799 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-07-13 10:30:52,800 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-07-13 10:30:52,800 [14] INFO  Umbraco.Core.PluginManager - [T18/D3] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-07-13 10:30:53,744 [14] INFO  Umbraco.Web.Search.ExamineEvents - [T18/D3] Initializing Examine and binding to business logic events
2015-07-13 10:30:53,918 [14] INFO  Umbraco.Web.Search.ExamineEvents - [T18/D3] Adding examine event handlers for index providers: 3
2015-07-13 10:30:53,930 [14] INFO  Umbraco.Core.CoreBootManager - [T18/D3] Umbraco application startup complete (took 1378ms)
2015-07-13 10:30:54,202 [14] INFO  Umbraco.Web.UmbracoModule - [T19/D3] Setting OriginalRequestUrl: localhost:55191/umbraco
2015-07-13 10:30:54,301 [14] INFO  umbraco.content - [T19/D3] Load Xml from file...
2015-07-13 10:30:54,304 [14] INFO  umbraco.content - [T19/D3] Loaded Xml from file.
2015-07-13 10:30:54,426 [14] INFO  Umbraco.Core.PluginManager - [T19/D3] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-07-13 10:30:54,428 [14] INFO  Umbraco.Core.PluginManager - [T19/D3] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 0ms)
2015-07-13 10:30:55,171 [14] INFO  Umbraco.Core.PluginManager - [T19/D3] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-07-13 10:30:55,172 [14] INFO  Umbraco.Core.PluginManager - [T19/D3] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 0ms)
2015-07-13 10:32:21,372 [15] INFO  Umbraco.Core.CoreBootManager - [T1/D2] Umbraco application starting
2015-07-13 10:32:21,442 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Determining hash of code files on disk
2015-07-13 10:32:21,454 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Hash determined (took 10ms)
2015-07-13 10:32:21,464 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-07-13 10:32:21,686 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 221ms)
2015-07-13 10:32:21,761 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-07-13 10:32:21,765 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 3ms)
2015-07-13 10:32:21,765 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-07-13 10:32:21,772 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 6ms)
2015-07-13 10:32:21,800 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-07-13 10:32:21,806 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 6 (took 6ms)
2015-07-13 10:32:21,807 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-07-13 10:32:21,813 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 5ms)
2015-07-13 10:32:21,878 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-07-13 10:32:21,883 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 5ms)
2015-07-13 10:32:21,884 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-07-13 10:32:21,890 [15] INFO  Umbraco.Core.PluginManager - [T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2015-07-13 10:32:22,882 [15] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D2] Initializing Examine and binding to business logic events
2015-07-13 10:32:23,130 [15] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D2] Adding examine event handlers for index providers: 3
